parlamento.pt,nome,partido,distrito,wikipedia,facebook,twitter,instagram
2129,João Paulo Moreira Correia,PS,Porto,João_Paulo_Correia,joaopaulo.correia.967,Jpcorreia1976,
1735,João Paulo de Loureiro Rebelo,PS,Viseu,,JoaoPauloRebeloViseu,jprebelo_sejd,joao.paulo.rebelo
,João Pedro Soeiro de Matos Fernandes,PS,Porto,João_Pedro_Matos_Fernandes,,,
4166,João Saldanha de Azevedo Galamba,PS,Lisboa,,joao.galamba,Joaogalamba,
7051,João Titternigton Gomes Cravinho,PS,Setúbal,João_Gomes_Cravinho,joao.cravinho.7,joaocravinho,
4405,João Veloso da Silva Torres,PS,Porto,João_Torres,jvstorres,jvstorres,jvstorres
,Luís Manuel Capoulas Santos,PS,Évora,Luís_Capoulas_Santos,capoulas.santos,,
5677,Luís Miguel da Graça Nunes,PS,Faro,Luís_Graça,luis.graca.374,,psalgarve
5531,Luís Miguel de Freitas Marques Carvalho Soares,PS,Braga,Luís_Carvalho_Soares,luissoares.com.pt,luismfmcsoares,luissoares.oficial
,Lúcia Fernanda Ferreira Araújo da Silva,PS,Viseu,Lúcia_Araújo_Silva,lucia.araujodasilva.9,LuciaAraujoSilv,
6976,Manuel António dos Santos Afonso,PS,Santarém,Manuel_dos_Santos_Afonso,FazerOQuePrecisaSerFeito,,
7018,Mara Lúcia Lagriminha Coelho,PS,Santarém,Mara_Coelho,mara.lagriminha,MLagriminha,maralagriminha
,Marcos da Cunha e Lorena Perestrello de Vasconcelos,PS,Lisboa,Marcos_Perestrello,marcos.perestrello.3,,marcosperestrello
1594,Maria Antónia Moreno Areias de Almeida Santos,PS,Setúbal,Maria_Antónia_de_Almeida_Santos,id=538055269,,
,Maria Elisabete da Silva Duarte Matos,PS,Braga,Elisabete_Matos,ElisabeteMatossoprano,elisabetematos3,
4133,Maria Isabel Solnado Porto Oneto,PS,Porto,Isabel_Oneto,,,
695,Maria da Luz Gameiro Beja Ferreira Rosinha,PS,Lisboa,Maria_da_Luz_Rosinha,,,
7239,Maria de Fátima de Jesus Fonseca,PS,Lisboa,,maria.fonseca.7712826,,
,Maria do Céu de Oliveira Antunes,PS,Santarém,Maria_do_Céu_Antunes,mariadoceuantunes.ma,MariaCeuAntunes,mariadoceu_antunes
,Maria do Rosário Gamboa Lopes de Carvalho,PS,Porto,Rosário_Gambôa,rosario.gamboa.16,,
6934,Mariana Guimarães Vieira da Silva,PS,Lisboa,Mariana_Vieira_da_Silva,mariana.v.dasilva.5,margvs,mariana_vds
6870,Marina Sola Gonçalves,PS,Viana do Castelo,,marina.goncalves.58367,marina__gnclvs,gnclvsmarina
6530,Marta Alexandra Fartura Braga Temido de Almeida Simões,PS,Coimbra,Marta_Temido,,,
6899,Marta Luísa de Freitas,PS,Madeira,Marta_Freitas_(política),,,
,Miguel Filipe Pardal Cabrita,PS,Lisboa,,,mcabrita,
6706,Miguel de Oliveira Pires da Costa Matos,PS,Lisboa,Miguel_Costa_Matos,miguel.matos,MigCMatos,miguelcostamatosps
,Miguel dos Santos Rodrigues,PS,Porto,,miguel.rodrigues.3701,miguel_s_rod,
1865,Nelson Domingos Brito,PS,Beja,,nelsonbritops2020,,
5635,Norberto António Lopes Patinho,PS,Évora,Norberto_Patinho,norbertopatinhopeloalentejo,,
6878,Nuno Jorge Cardona Fazenda de Almeida,PS,Castelo Branco,Nuno_Fazenda,FazendaNuno,fazendanuno,nunofazendaalmeida
3936,Palmira Maciel Fernandes da Costa,PS,Braga,Palmira_Maciel,palmira.maciel.7,,
,Patrícia Monte Pinto Ribeiro Faro,PS,Porto,,patricia.ribeirofaro,,
,Paulo Alexandre Carvalho Pisco,PS,Europa,Paulo_Pisco,paulo.pisco.33,,paulo.cpisco
1893,Pedro Artur Barreirinhas Sales Guedes Coimbra,PS,Coimbra,Pedro_Coimbra,PedroArturCoimbra,,
4453,Pedro Filipe Mota Delgado Simões Alves,PS,Lisboa,Pedro_Delgado_Alves,pedrodelgadoalves,pdelgadoalves,pedrodelgadoalves
6637,Pedro Miguel de Sousa Barrocas Martinho Cegonho,PS,Lisboa,Pedro_Cegonho,cegonho.pedro,pcegonho,pedrocegonho
416,Pedro Nuno Raposo Prazeres do Carmo,PS,Beja,Pedro_do_Carmo,pedro.d.carmo.37,pedrodocarmo09,pcarmoourique
2051,Pedro Nuno de Oliveira Santos,PS,Aveiro,Pedro_Nuno_Santos,pedronunosantos.19,PNSpedronuno,pnunosantos
7161,Pompeu Miguel Noval da Rocha Martins,PS,Braga,Pompeu_Miguel_Martins,pompeu.martins,pompeumartins,pompeu_martins
,Porfirio Simões de Carvalho e Silva,PS,Aveiro,Porfírio_Silva,porfirio.silva.56,especulativa,
7034,Raquel de Fátima Cardoso Ferreira,PS,Coimbra,Raquel_Ferreira,raquelcardoso.ff,,
,Ricardo Manuel Garrido Lino,PS,Coimbra,,,,
6552,Ricardo Miguel Furtado Pinheiro,PS,Portalegre,,RPinheiro28,ricardo_p28,rpinheiro_sep
2273,Rita Mafalda Nobre Borges Madeira,PS,Lisboa,Rita_Borges_Madeira,Rita-Madeira-107571027791539,borges_madeira,
6682,Romualda Maria da Conceição Martins Nunes Fernandes,PS,Lisboa,Romualda_Fernandes,romualda.nunesfernandes,,
,Rui Carlos Morais Lage,PS,Porto,,,,
,Salvador Portugal Formiga,PS,Leiria,,salvador.formiga,salvaformiga,
6956,Sara Maria Belo Velez,PS,Leiria,Sara_Velez,sara.velez.7564,saravelez,
6962,Susana Alexandra Lopes Correia,PS,Aveiro,Susana_Correia,id=100010939274006,,
1944,Susana de Fátima Carvalho Amador,PS,Lisboa,Susana_Amador,susana.amador.37,susanaamador,susana.amador.37
,Sérgio Alexandrino Monteiro do Monte,PS,Lisboa,,,,
1468,Sérgio Humberto Rocha de Ávila,PS,Açores,,SergioAviila68,,
1264,Sérgio Paulo Mendes de Sousa Pinto,PS,Lisboa,Sérgio_Sousa_Pinto,sergio.sousapinto.5,ssp6,
2445,Tiago Barbosa Ribeiro,PS,Porto,Tiago_Barbosa_Ribeiro,tiagobarbosaribeiro,tbribeiro,tiagobarbosaribeiro.pt
6112,Tiago Brandão Rodrigues,PS,Viana do Castelo,Tiago_Brandão_Rodrigues,tiago.b.rodrigues,,tiagobrandaorodrigues
6949,Tiago Estevão Martins,PS,Coimbra,,tiago.e.martins,t_estevao,tiagoestevaomartins
